"","","71","3/11/2020","830.96","912.18496932172","940","797.26440283895","788.5","948.79297458894","314","159.61666666667"
"","","72","3/12/2020","661.18","725.80925437582","1023.44","868.03434089521","1046","1258.6397608371","207","105.225"
"","","73","3/13/2020","692.2","759.86140820797","910.88","772.56616942335","901.5","1084.764573991","274","139.28333333333"
"","","74","3/14/2020","608.46","667.93596133808","771.14","654.04518255876","666","801.39013452915","203.5","103.44583333333"
"","","75","3/15/2020","0","0","0","0","110.5","132.96337817638","0","0"
"","","76","3/16/2020","663.88","728.77317492214","912.66","774.07588286702","1066","1282.7055306428","238.5","121.2375"
"","","77","3/17/2020","664.7","729.67332856954","857","726.86765237551","748.5","900.66143497758","156","79.3"
"","","78","3/18/2020","779.98","856.22175841383","748.84","635.13135683183","949.5","1142.5224215247","437","222.14166666667"
"","","79","3/19/2020","775.56","851.36971070467","795","674.28212793295","869.5","1046.2593423019","213.5","108.52916666667"
"","","80","3/20/2020","695.12","763.0668333914","609.22","516.71214840165","1310.5","1576.9095665172","163.5","83.1125"
"","","81","3/21/2020","332","364.4524523621","363.66","308.43954546427","446.5","537.26831091181","94.5","48.0375"
"","","82","3/22/2020","0","0","0","0","0","0","0","0"
"","","83","3/23/2020","83.04","91.157023024545","220.76","187.23839316035","617.5","743.03064275038","100","50.833333333333"
"","","84","3/24/2020","332.22","364.69395699921","391.82","332.32355140464","443.5","533.65844544096","143.5","72.945833333333"
"","","85","3/25/2020","305","334.81324689892","166.64","141.33631924371","356.5","428.97234678625","52","26.433333333333"
"","","86","3/26/2020","165.64","181.83103677487","279.18","236.78752764317","616.5","741.82735426009","169.5","86.1625"
"","","87","3/27/2020","252.04","276.67649425706","276.84","234.80284817227","497.5","598.63602391629","40","20.333333333333"
"","","88","3/28/2020","138.16","151.66491210346","195.34","165.67832813889","515","619.69357249627","88.5","44.9875"
"","","89","3/29/2020","0","0","0","0","0","0","0","0"
"","","90","3/30/2020","222.84","244.6222424228","247.26","209.71446409145","717","862.75784753363","40","20.333333333333"
"","","91","3/31/2020","248.6","272.90023993138","330.76","280.53529136491","434","522.22720478326","78.5","39.904166666667"
"","","92","4/1/2020","248.54","272.83437503035","194.7","165.13550982207","558","671.43497757848","126","64.05"
"","","93","4/2/2020","138.44","151.97228164159","335.74","284.75909639271","714","859.14798206278","104","52.866666666667"
"","","94","4/3/2020","305.54","335.40603100818","609.36","516.83088990845","871","1048.0642750374","93.5","47.529166666667"
"","","95","4/4/2020","251.54","276.12762008182","140.42","119.09773132622","580.5","698.50896860987","92","46.766666666667"
"","","96","4/5/2020","0","0","0","0","0","0","0","0"
"","","97","4/6/2020","443.12","486.43424906836","107.9","91.515775602471","1121","1348.8863976084","217.5","110.5625"
"","","98","4/7/2020","167.48","183.85089373977","223.18","189.29092492085","891","1072.1300448431","141","71.675"
"","","99","4/8/2020","307.22","337.250248237","109.56","92.92371061174","656","789.35724962631","159","80.825"
"","","100","4/9/2020","251.88","276.50085452098","111.94","94.942316227439","781.5","940.36995515695","133.5","67.8625"
"","","101","4/10/2020","222.94","244.73201725785","28.42","24.104525881578","830.5","999.33109118087","140","71.166666666667"
"","","102","4/11/2020","279.56","306.8865288625","168.38","142.81210654258","405","487.33183856502","85.5","43.4625"
"","","103","4/12/2020","0","0","0","0","0","0","0","0"
"","","104","4/13/2020","138.44","151.97228164159","276.1","234.17521449344","850","1022.7952167414","248.5","126.32083333333"
"","","105","4/14/2020","248.66","272.96610483241","364.68","309.30466215671","909","1093.7892376682","182.5","92.770833333333"
"","","106","4/15/2020","442.62","485.88537489311","167.58","142.13358364654","632","760.47832585949","117","59.475"
"","","107","4/16/2020","385.6","423.29176394827","110.94","94.094162607397","561","675.04484304933","261.5","132.92916666667"
"","","108","4/17/2020","219.52","240.97771789918","277.958","235.75108391948","574.5","691.28923766816","180","91.5"
"","","109","4/18/2020","221.26","242.88780002903","193.36","163.99898397121","333","400.69506726458","43.5","22.1125"
