,,ID,DATE ,VENTES P1 ,DEMANDE P1,VENTES P2,DEMANDE P2,VENTES P3,DEMANDE P3,VENTES P4,DEMANDE P4
,,623,14/09/2021,"667,66","732,922663686988","1306,9","1108,45196603216","1160,5","1396,41629297459",336,"170,8"
,,624,15/09/2021,"445,8","489,376214647664","1249,64","1059,88668974859",1089,"1310,38116591928","267,5","135,979166666667"
,,625,16/09/2021,"555,46","609,755298762206","1273,62","1080,22541355718","1268,5","1526,37144992526",272,"138,266666666667"
,,626,17/09/2021,"559,98","614,717121306413","1283,26","1088,40161445438",1363,"1640,0822122571",240,122
,,627,18/09/2021,"278,42","305,63509574294","1525,34","1293,72264279401","1266,5","1523,96487294469",314,"159,616666666667"
,,628,19/09/2021,0,0,"166,22","140,980094723288",619,"744,8355754858","45,5","23,1291666666667"
,,629,20/09/2021,"392,72","431,107732203747","1771,56","1502,55502712062","1327,5","1597,36547085202","427,5","217,3125"
,,630,21/09/2021,"803,02","881,513880409078","1357,98","1151,77565294388",1204,"1448,75934230194","272,5","138,520833333333"
,,631,22/09/2021,"501,5","550,52079776986","1499,4","1271,72153789014","1641,5","1975,1980568012","287,5","146,145833333333"
,,632,23/09/2021,"279,3","306,60111429137","1605,58","1361,77848926614","1225,5","1474,63004484305","216,5","110,054166666667"
,,633,24/09/2021,"360,86","396,133469757192","1688,24","1431,88686749876","1301,5","1566,07997010463","332,5","169,020833333333"
,,634,25/09/2021,"252,38","277,049728696226","1530,6","1298,18393083543",1343,"1616,01644245142","250,5","127,3375"
,,635,26/09/2021,0,0,"357,88","303,537217540431","524,5","631,124813153962","52,5","26,6875"
,,636,27/09/2021,"329,8","362,037405991026","1709,78","1450,15609647446","1344,5","1617,82137518685",380,"193,166666666667"
,,637,28/09/2021,"442,66","485,929284827131","1186,34","1006,19856559996",1254,"1508,92376681614","328,5","166,9875"
,,638,29/09/2021,"579,34","635,969529371866","1048,52","889,306033685852",1252,"1506,51718983558",350,"177,916666666667"
,,639,30/09/2021,"634,3","696,3017787147","1273,76","1080,34415506399",1132,"1362,1225710015","307,5","156,3125"
